key,value,date
N1402,2640.0,1990-01-01
N1402,2640.0,1990-02-01
N1402,2160.0,1990-03-01
N1402,4200.0,1990-04-01
N1402,3360.0,1990-05-01
N1402,2400.0,1990-06-01
N1402,3600.0,1990-07-01
N1402,1920.0,1990-08-01
N1402,4200.0,1990-09-01
N1402,4560.0,1990-10-01
N1402,480.0,1990-11-01
N1402,3720.0,1990-12-01
N1402,5640.0,1991-01-01
N1402,2880.0,1991-02-01
N1402,1800.0,1991-03-01
N1402,3120.0,1991-04-01
N1402,2400.0,1991-05-01
N1402,2520.0,1991-06-01
N1402,9000.0,1991-07-01
N1402,2640.0,1991-08-01
N1402,3120.0,1991-09-01
N1402,2880.0,1991-10-01
N1402,8760.0,1991-11-01
N1402,5160.0,1991-12-01
N1402,2160.0,1992-01-01
N1402,8280.0,1992-02-01
N1402,4920.0,1992-03-01
N1402,3120.0,1992-04-01
N1402,6600.0,1992-05-01
N1402,4080.0,1992-06-01
N1402,5880.0,1992-07-01
N1402,1680.0,1992-08-01
N1402,6720.0,1992-09-01
N1402,2040.0,1992-10-01
N1402,6480.0,1992-11-01
N1402,1920.0,1992-12-01
N1402,3600.0,1993-01-01
N1402,2040.0,1993-02-01
N1402,2760.0,1993-03-01
N1402,3840.0,1993-04-01
N1402,960.0,1993-05-01
N1402,2280.0,1993-06-01
N1402,1320.0,1993-07-01
N1402,2160.0,1993-08-01
N1402,4800.0,1993-09-01
N1402,3000.0,1993-10-01
N1402,3120.0,1993-11-01
N1402,5880.0,1993-12-01
N1402,2640.0,1994-01-01
N1402,2400.0,1994-02-01
N1402,2280.0,1994-03-01
N1402,480.0,1994-04-01
N1402,5040.0,1994-05-01
N1402,1920.0,1994-06-01
N1402,840.0,1994-07-01
N1402,2520.0,1994-08-01
N1402,1560.0,1994-09-01
N1402,1440.0,1994-10-01
N1402,240.0,1994-11-01
N1402,1800.0,1994-12-01
N1402,4680.0,1995-01-01
N1402,1800.0,1995-02-01
N1402,1680.0,1995-03-01
N1402,3720.0,1995-04-01
N1402,2160.0,1995-05-01
N1402,480.0,1995-06-01
N1402,2040.0,1995-07-01
N1402,1440.0,1995-08-01
N1403,1680.0,1990-01-01
N1403,1920.0,1990-02-01
N1403,120.0,1990-03-01
N1403,1080.0,1990-04-01
N1403,840.0,1990-05-01
N1403,1440.0,1990-06-01
N1403,480.0,1990-07-01
N1403,720.0,1990-08-01
N1403,4080.0,1990-09-01
N1403,1560.0,1990-10-01
N1403,480.0,1990-11-01
N1403,720.0,1990-12-01
N1403,6120.0,1991-01-01
N1403,2040.0,1991-02-01
N1403,3960.0,1991-03-01
N1403,2160.0,1991-04-01
N1403,120.0,1991-05-01
N1403,1200.0,1991-06-01
N1403,1080.0,1991-07-01
N1403,1080.0,1991-08-01
N1403,1080.0,1991-09-01
N1403,2160.0,1991-10-01
N1403,240.0,1991-11-01
N1403,1440.0,1991-12-01
N1403,1200.0,1992-01-01
N1403,1560.0,1992-02-01
N1403,2520.0,1992-03-01
N1403,600.0,1992-04-01
N1403,1560.0,1992-05-01
N1403,3240.0,1992-06-01
N1403,7440.0,1992-07-01
N1403,480.0,1992-08-01
N1403,2640.0,1992-09-01
N1403,960.0,1992-10-01
N1403,3120.0,1992-11-01
N1403,1200.0,1992-12-01
N1403,960.0,1993-01-01
N1403,480.0,1993-02-01
N1403,600.0,1993-03-01
N1403,120.0,1993-04-01
N1403,2640.0,1993-05-01
N1403,720.0,1993-06-01
N1403,600.0,1993-07-01
N1403,840.0,1993-08-01
N1403,1320.0,1993-09-01
N1403,2160.0,1993-10-01
N1403,1200.0,1993-11-01
N1403,1800.0,1993-12-01
N1403,1320.0,1994-01-01
N1403,600.0,1994-02-01
N1403,1440.0,1994-03-01
N1403,840.0,1994-04-01
N1403,1440.0,1994-05-01
N1403,1560.0,1994-06-01
N1403,1080.0,1994-07-01
N1403,360.0,1994-08-01
N1403,960.0,1994-09-01
