key,week_num,value,date
W1,2,1089.2,1970-01-05
W1,3,1078.91,1970-01-12
W1,4,1079.88,1970-01-19
W1,5,1063.58,1970-01-26
W1,6,1060.61,1970-02-02
W1,7,1056.93,1970-02-09
W1,8,1056.63,1970-02-16
W1,9,1049.51,1970-02-23
W1,10,1049.32,1970-03-02
W1,11,1049.89,1970-03-09
W1,12,1058.65,1970-03-16
W1,13,1062.35,1970-03-23
W1,14,1064.38,1970-03-30
W1,15,1061.96,1970-04-06
W1,16,1071.06,1970-04-13
W1,17,1073.73,1970-04-20
W1,18,1066.97,1970-04-27
W1,19,1066.17,1970-05-04
W1,20,1064.43,1970-05-11
W1,21,1075.78,1970-05-18
W1,22,1070.45,1970-05-25
W1,23,1076.27,1970-06-01
W1,24,1072.98,1970-06-08
W1,25,1087.71,1970-06-15
W1,26,1088.29,1970-06-22
W1,27,1095.81,1970-06-29
W1,28,1093.18,1970-07-06
W1,29,1097.8,1970-07-13
W1,30,1100.55,1970-07-20
W1,31,1089.55,1970-07-27
W1,32,1086.26,1970-08-03
W1,33,1086.63,1970-08-10
W1,34,1098.57,1970-08-17
W1,35,1091.15,1970-08-24
W1,36,1091.59,1970-08-31
W1,37,1088.38,1970-09-07
W1,38,1093.82,1970-09-14
W1,39,1092.42,1970-09-21
W1,40,1093.99,1970-09-28
W1,41,1086.3,1970-10-05
W1,42,1097.82,1970-10-12
W1,43,1104.85,1970-10-19
W1,44,1097.33,1970-10-26
W1,45,1100.56,1970-11-02
W1,46,1097.24,1970-11-09
W1,47,1117.6,1970-11-16
W1,48,1119.59,1970-11-23
W1,49,1121.28,1970-11-30
W1,50,1119.58,1970-12-07
W1,51,1131.3,1970-12-14
W1,52,1135.79,1970-12-21
W1,53,1142.59,1970-12-28
W1,54,1138.05,1971-01-04
W1,55,1122.09,1971-01-11
W1,56,1119.01,1971-01-18
W1,57,1104.14,1971-01-25
W1,58,1104.56,1971-02-01
W1,59,1097.51,1971-02-08
W1,60,1114.17,1971-02-15
W1,61,1105.5,1971-02-22
W1,62,1105.82,1971-03-01
W1,63,1101.62,1971-03-08
W1,64,1114.33,1971-03-15
W1,65,1118.28,1971-03-22
W1,66,1118.86,1971-03-29
W1,67,1116.69,1971-04-05
W1,68,1126.44,1971-04-12
W1,69,1144.34,1971-04-19
W1,70,1133.41,1971-04-26
W1,71,1140.9,1971-05-03
W1,72,1127.98,1971-05-10
W1,73,1139.46,1971-05-17
W1,74,1134.09,1971-05-24
W1,75,1138.07,1971-05-31
W1,76,1135.72,1971-06-07
W1,77,1148.23,1971-06-14
W1,78,1144.12,1971-06-21
W1,79,1150.09,1971-06-28
W1,80,1154.58,1971-07-05
W1,81,1153.86,1971-07-12
W1,82,1164.4,1971-07-19
W1,83,1150.2,1971-07-26
W1,84,1156.06,1971-08-02
W1,85,1149.12,1971-08-09
W1,86,1162.7,1971-08-16
W1,87,1156.42,1971-08-23
W1,88,1152.2,1971-08-30
W1,89,1151.35,1971-09-06
W1,90,1156.87,1971-09-13
W1,91,1158.77,1971-09-20
W1,92,1155.95,1971-09-27
W1,93,1159.13,1971-10-04
W1,94,1158.86,1971-10-11
W1,95,1176.97,1971-10-18
W1,96,1164.09,1971-10-25
W1,97,1169.36,1971-11-01
W1,98,1168.44,1971-11-08
W1,99,1189.53,1971-11-15
W1,100,1189.41,1971-11-22
W1,101,1193.87,1971-11-29
W1,102,1187.82,1971-12-06
W1,103,1201.15,1971-12-13
W1,104,1209.1,1971-12-20
W1,105,1214.21,1971-12-27
W1,106,1212.27,1972-01-03
W1,107,1200.88,1972-01-10
W1,108,1201.57,1972-01-17
W1,109,1190.88,1972-01-24
W1,110,1177.05,1972-01-31
W1,111,1173.78,1972-02-07
W1,112,1178.98,1972-02-14
W1,113,1183.4,1972-02-21
W1,114,1176.37,1972-02-28
W1,115,1176.53,1972-03-06
W1,116,1185.6,1972-03-13
W1,117,1194.62,1972-03-20
W1,118,1194.19,1972-03-27
W1,119,1193.52,1972-04-03
W1,120,1198.95,1972-04-10
W1,121,1219.89,1972-04-17
W1,122,1209.5,1972-04-24
W1,123,1211.4,1972-05-01
W1,124,1205.6,1972-05-08
W1,125,1215.07,1972-05-15
W1,126,1206.13,1972-05-22
W1,127,1211.71,1972-05-29
W1,128,1208.51,1972-06-05
W1,129,1214.98,1972-06-12
W1,130,1222.91,1972-06-19
W1,131,1223.55,1972-06-26
W1,132,1239.74,1972-07-03
W1,133,1235.51,1972-07-10
W1,134,1252.08,1972-07-17
W1,135,1234.88,1972-07-24
W1,136,1243.08,1972-07-31
W1,137,1237.55,1972-08-07
W1,138,1246.44,1972-08-14
W1,139,1242.71,1972-08-21
W1,140,1239.94,1972-08-28
W1,141,1240.17,1972-09-04
W1,142,1244.26,1972-09-11
W1,143,1248.39,1972-09-18
W1,144,1241.66,1972-09-25
W1,145,1253.08,1972-10-02
W1,146,1246.01,1972-10-09
W1,147,1269.03,1972-10-16
W1,148,1259.1,1972-10-23
W1,149,1259.56,1972-10-30
W1,150,1262.08,1972-11-06
W1,151,1278.35,1972-11-13
W1,152,1285.59,1972-11-20
W1,153,1282.96,1972-11-27
W1,154,1281.22,1972-12-04
W1,155,1289.03,1972-12-11
W1,156,1305.41,1972-12-18
W1,157,1310.57,1972-12-25
W1,158,1323.36,1973-01-01
W1,159,1308.07,1973-01-08
W1,160,1312.42,1973-01-15
W1,161,1290.91,1973-01-22
W1,162,1282.05,1973-01-29
W1,163,1282.8,1973-02-05
W1,164,1287.41,1973-02-12
W1,165,1294.82,1973-02-19
W1,166,1281.74,1973-02-26
W1,167,1279.89,1973-03-05
W1,168,1284.32,1973-03-12
W1,169,1299.36,1973-03-19
W1,170,1298.75,1973-03-26
W1,171,1303.12,1973-04-02
W1,172,1298.87,1973-04-09
W1,173,1323.8,1973-04-16
W1,174,1313.84,1973-04-23
W1,175,1320.48,1973-04-30
W1,176,1317.75,1973-05-07
W1,177,1326.68,1973-05-14
W1,178,1321.63,1973-05-21
W1,179,1325.01,1973-05-28
W1,180,1323.13,1973-06-04
W1,181,1334.33,1973-06-11
W1,182,1343.47,1973-06-18
W1,183,1336.19,1973-06-25
W1,184,1360.98,1973-07-02
W1,185,1346.39,1973-07-09
W1,186,1376.93,1973-07-16
W1,187,1351.23,1973-07-23
W1,188,1348.53,1973-07-30
W1,189,1342.95,1973-08-06
W1,190,1354.9,1973-08-13
W1,191,1357.57,1973-08-20
W1,192,1353.04,1973-08-27
W1,193,1358.32,1973-09-03
W1,194,1357.41,1973-09-10
W1,195,1366.72,1973-09-17
W1,196,1362.46,1973-09-24
W1,197,1369.01,1973-10-01
W1,198,1368.22,1973-10-08
W1,199,1385.21,1973-10-15
W1,200,1378.58,1973-10-22
W1,201,1374.54,1973-10-29
W1,202,1376.63,1973-11-05
W1,203,1385.96,1973-11-12
W1,204,1433.92,1973-11-19
W1,205,1433.65,1973-11-26
W1,206,1434.58,1973-12-03
W1,207,1430.48,1973-12-10
W1,208,1450.9,1973-12-17
W1,209,1454.58,1973-12-24
W1,210,1476.08,1973-12-31
W1,211,1450.38,1974-01-07
W1,212,1454.57,1974-01-14
W1,213,1432.5,1974-01-21
W1,214,1421.6,1974-01-28
W1,215,1414.05,1974-02-04
